0.2224,0.2535,0.2463,0.2394,0.2386,0.2369,0.2357,0.2344,0.2326,0.2324,,,,,,,,
0.2731,0.3002,0.2958,0.2914,0.2878,0.2834,0.2821,0.2817,0.2807,0.2803,,,,,,,,
0.2638,0.2801,0.2793,0.2784,0.2776,0.2752,0.2745,0.274,0.2736,0.2731,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.2466,0.259,0.253,0.2451,0.232,0.226,0.2242,0.223,0.222,0.2,,,,,,,,
0.2898,0.2976,0.2981,0.2816,0.2793,0.2732,0.2772,0.2745,0.2735,0.2731,,,,,,,,
0.2741,0.2767,0.2888,0.2693,0.2691,0.2687,0.2683,0.2672,0.2644,0.2638,,,,,,,,
,,,,,,,,,,,,,,,,,
100,300,500,700,900,1100,1300,1500,1700,1900,2100,2300,2500,2700,2900,3100,3300,3500
0.182,0.1938,0.1986,0.1999,0.2022,0.2024,0.202,0.2023,0.2019,0.2017,0.2013,0.2013,0.2005,0.2,0.1998,0.1992,0.1985,0.1982
0.2234,0.2388,0.2434,0.2453,0.2466,0.2463,0.2451,0.244,0.2435,0.2431,0.2419,0.2412,0.2402,0.2394,0.2386,0.2379,0.2371,0.2364
0.2338,0.2423,0.2426,0.2382,0.2244,0.2078,0.2008,0.1951,0.1888,0.184,0.1794,0.1761,0.1731,0.171,0.1717,0.1689,0.166,0.1638
,,,,,,,,,,,,,,,,,
,,,,0.255,0.2024,0.0526,,,,,,,,,,,
,,,,0.3187,0.2466,0.0721,,,,,,,,,,,
,,,,0.2838,0.2426,0.0412,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.2346,0.2464,0.2512,0.2525,0.2548,0.255,0.2546,0.2549,0.2545,0.2543,0.2539,0.2539,0.2531,0.2526,0.2524,0.2518,0.2511,0.2508
0.2955,0.3109,0.3155,0.3174,0.3187,0.3184,0.3172,0.3161,0.3156,0.3152,0.314,0.3133,0.3123,0.3115,0.3107,0.31,0.3092,0.3085
0.275,0.2835,0.2838,0.2794,0.2656,0.249,0.242,0.2363,0.23,0.2252,0.2206,0.2173,0.2143,0.2122,0.2129,0.2101,0.2072,0.205
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.2324,0.2463,0.2535,0.2394,0.2386,0.2369,0.2257,0.2204,0.22,0.2124,,,,,,,,
0.2803,0.2958,0.3002,0.2914,0.2878,0.2834,0.2821,0.2767,0.2739,0.2731,,,,,,,,
0.2731,0.2793,0.2801,0.2784,0.2776,0.2752,0.2745,0.2701,0.2642,0.2638,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,
beta_U,,,,,,,,,,,,,,,,,
