th,TREC7n8-beta_U,ROBUST04-beta_U,GOV-beta_U,TREC7n8-beta_L,ROBUST04-beta_L,GOV-beta_L
0.05,0.2324,0.2803,0.2731,0.2466,0.2898,0.2741
0.1,0.2463,0.2958,0.2793,0.259,0.2976,0.2767
0.15,0.2535,0.3002,0.2801,0.253,0.2981,0.274
0.2,0.2394,0.2914,0.2784,0.2451,0.2816,0.272
0.25,0.2386,0.2878,0.2776,0.232,0.2793,0.2691
0.3,0.2369,0.2834,0.2752,0.226,0.2732,0.2687
0.35,0.2257,0.2821,0.2745,0.2242,0.2772,0.2683
0.4,0.2204,0.2767,0.2701,0.223,0.2745,0.2672
0.45,0.22,0.2739,0.2642,0.222,0.2735,0.2644
0.5,0.2124,0.2731,0.2638,0.2,0.2731,0.2638
